"product_name","total_orders","reorder_count"
"Banana","472565","398609"
"Bag of Organic Bananas","379450","315913"
"Organic Strawberries","264683","205845"
"Organic Baby Spinach","241921","186884"
"Organic Hass Avocado","213584","170131"
"Organic Avocado","176815","134044"
"Large Lemon","152657","106255"
"Strawberries","142951","99802"
"Limes","140627","95768"
"Organic Whole Milk","137905","114510"
"Organic Raspberries","137057","105409"
"Organic Yellow Onion","113426","79072"
"Organic Garlic","109778","74663"
"Organic Zucchini","104823","72165"
"Organic Blueberries","100060","62922"
"Cucumber Kirby","97315","67313"
"Organic Fuji Apple","89632","63811"
"Organic Lemon","87746","60536"
"Apple Honeycrisp Organic","85020","62510"
"Organic Grape Tomatoes","84255","55230"
"Seedless Red Grapes","82689","55177"
"Organic Cucumber","80392","56051"
"Honeycrisp Apple","79769","57818"
"Organic Baby Carrots","76896","50472"
"Organic Half & Half","76360","59672"
"Sparkling Water Grapefruit","75886","58513"
"Organic Large Extra Fancy Fuji Apple","75165","57201"
"Yellow Onions","73167","43269"
"Organic Gala Apples","72846","53406"
"Organic Baby Arugula","72829","49798"
"Carrots","72736","46572"
"Fresh Cauliflower","71584","45969"
"Original Hummus","71314","51690"
"Organic Cilantro","69524","43103"
"Half & Half","69217","52728"
"Organic Small Bunch Celery","68091","42971"
"Michigan Organic Kale","67449","46841"
"Asparagus","67283","41585"
"Organic Red Onion","66986","41329"
"Organic Tomato Cluster","64289","42261"
"Organic Blackberries","61746","40295"
"100% Whole Wheat Bread","60816","44834"
"Organic Italian Parsley Bunch","60621","37141"
"Organic Whole String Cheese","59676","45639"
"Organic Granny Smith Apple","58779","41566"
"Organic Unsweetened Almond Milk","57895","43875"
"Raspberries","57640","39507"
"Organic Red Bell Pepper","57485","37968"
"Spring Water","56087","45558"
"Blueberries","55946","32592"
"Green Bell Pepper","55484","33857"
"Organic Peeled Whole Baby Carrots","55371","34916"
"Red Peppers","55280","35013"
"Red Vine Tomato","54409","34812"
"Organic Ginger Root","52087","29848"
"Organic Garnet Sweet Potato (Yam)","51939","34408"
"Boneless Skinless Chicken Breasts","50281","33286"
"Extra Virgin Olive Oil","50255","23954"
"Hass Avocados","50221","37365"
"Organic Kiwi","50141","35765"
"Unsweetened Almondmilk","49569","37343"
"Small Hass Avocado","49021","32924"
"Organic D'Anjou Pears","48915","33780"
"Organic Reduced Fat 2% Milk","47839","38544"
"Lime Sparkling Water","46546","34538"
"Bunched Cilantro","45530","25877"
"Grated Parmesan","45238","27635"
"Organic Lacinato (Dinosaur) Kale","43067","29936"
"Red Onion","43009","23609"
"Sparkling Natural Mineral Water","42934","31500"
"Organic Navel Orange","42721","27332"
"Jalapeno Peppers","42561","24741"
"Broccoli Crown","42044","27540"
"Uncured Genoa Salami","41473","27372"
"Large Alfresco Eggs","40376","31321"
"Roma Tomato","40212","25642"
"Organic Grade A Free Range Large Brown Eggs","40045","28650"
"Clementines, Bag","39825","24016"
"Orange Bell Pepper","39188","23593"
"Grape White/Green Seedless","38971","25968"
"Organic Broccoli","38720","27654"
"Organic Black Beans","38001","22352"
"100% Raw Coconut Water","37973","29939"
"Organic Bartlett Pear","37706","26692"
"2% Reduced Fat Milk","37091","28788"
"Garlic","36617","21510"
"Shredded Parmesan","36365","23371"
"Granny Smith Apples","36187","23537"
"Organic Carrot Bunch","35820","20763"
"Soda","35791","27791"
"Unsalted Butter","35667","19830"
"Organic Reduced Fat Milk","35663","30338"
"Whole Milk","35633","27749"
"Bartlett Pears","35413","23015"
"Organic Romaine Lettuce","34874","21548"
"Unsweetened Original Almond Breeze Almond Milk","34583","24690"
"Organic Sticks Low Moisture Part Skim Mozzarella String Cheese","34209","25033"
"Pure Irish Butter","33908","22282"
"Organic Broccoli Florets","32887","21429"
"Sparkling Lemon Water","32788","24403"
